Name,Age,Salary
Employee 900,49,41791
Employee 901,46,81156
Employee 902,57,72897
Employee 903,48,98010
Employee 904,51,35459
Employee 905,48,47395
Employee 906,59,53052
Employee 907,41,82103
Employee 908,36,38206
Employee 909,56,43097
Employee 910,37,40036
Employee 911,21,31059
Employee 912,27,76354
Employee 913,27,40377
Employee 914,40,31002
Employee 915,25,65480
Employee 916,40,54973
Employee 917,34,48114
Employee 918,46,47859
Employee 919,28,83063
Employee 920,42,30726
Employee 921,45,73367
Employee 922,37,40768
Employee 923,54,64635
Employee 924,57,49067
Employee 925,23,32919
Employee 926,47,98693
Employee 927,36,34948
Employee 928,49,63032
Employee 929,20,69702
Employee 930,26,91395
Employee 931,51,97120
Employee 932,44,57056
Employee 933,27,66877
Employee 934,28,63706
Employee 935,51,39106
Employee 936,27,33266
Employee 937,23,60875
Employee 938,35,34236
Employee 939,20,99034
Employee 940,59,98261
Employee 941,55,80658
Employee 942,51,50693
Employee 943,35,63974
Employee 944,44,72974
Employee 945,48,38117
Employee 946,21,34002
Employee 947,44,93502
Employee 948,42,77397
Employee 949,28,40482
Employee 950,21,92970
Employee 951,42,93405
Employee 952,21,94536
Employee 953,52,85187
Employee 954,24,39158
Employee 955,33,39286
Employee 956,57,57661
Employee 957,38,31558
Employee 958,48,89098
Employee 959,42,94619
Employee 960,58,63507
Employee 961,47,80382
Employee 962,32,77567
Employee 963,54,59919
Employee 964,22,45166
Employee 965,20,60575
Employee 966,44,77220
Employee 967,47,83669
Employee 968,59,47900
Employee 969,43,58662
Employee 970,56,89947
Employee 971,43,37849
Employee 972,43,63808
Employee 973,47,98368
Employee 974,51,36697
Employee 975,39,59579
Employee 976,46,78765
Employee 977,49,31697
Employee 978,58,72172
Employee 979,52,75845
Employee 980,50,83205
Employee 981,31,88312
Employee 982,39,44620
Employee 983,36,55196
Employee 984,47,41276
Employee 985,32,77647
Employee 986,40,41322
Employee 987,31,90771
Employee 988,44,72285
Employee 989,57,93747
Employee 990,49,79794
Employee 991,45,35213
Employee 992,47,78260
Employee 993,57,63916
Employee 994,38,86405
Employee 995,47,50622
Employee 996,36,67385
Employee 997,34,64330
Employee 998,47,74967
Employee 999,39,58625
