Name,Age,Salary
Employee 0,42,70968
Employee 1,53,98209
Employee 2,26,66424
Employee 3,31,62742
Employee 4,35,37255
Employee 5,46,36539
Employee 6,59,65751
Employee 7,30,86408
Employee 8,20,95443
Employee 9,32,70687
Employee 10,41,51788
Employee 11,48,72016
Employee 12,25,62158
Employee 13,37,44359
Employee 14,57,36709
Employee 15,31,41230
Employee 16,33,86035
Employee 17,55,59496
Employee 18,35,75961
Employee 19,27,98671
Employee 20,46,74427
Employee 21,28,91096
Employee 22,24,47088
Employee 23,23,74414
Employee 24,48,34659
Employee 25,28,95477
Employee 26,33,74203
Employee 27,52,83057
Employee 28,57,89304
Employee 29,33,41838
Employee 30,21,73588
Employee 31,45,75226
Employee 32,41,74324
Employee 33,23,71181
Employee 34,55,70423
Employee 35,25,89899
Employee 36,43,55812
Employee 37,47,86167
Employee 38,33,32485
Employee 39,20,96569
Employee 40,51,66463
Employee 41,31,76644
Employee 42,38,94195
Employee 43,51,56424
Employee 44,38,47346
Employee 45,44,83242
Employee 46,31,50847
Employee 47,35,43129
Employee 48,40,55531
Employee 49,55,54549
Employee 50,54,71828
Employee 51,44,30107
Employee 52,46,43312
Employee 53,53,63104
Employee 54,56,98504
Employee 55,59,75884
Employee 56,42,93335
Employee 57,26,81199
Employee 58,27,70645
Employee 59,27,43164
Employee 60,31,61108
Employee 61,25,35702
Employee 62,51,96374
Employee 63,26,35144
Employee 64,23,69583
Employee 65,30,31551
Employee 66,25,31723
Employee 67,59,53764
Employee 68,46,34602
Employee 69,53,80410
Employee 70,43,78446
Employee 71,56,55477
Employee 72,49,31892
Employee 73,29,79934
Employee 74,53,36063
Employee 75,44,98000
Employee 76,44,49494
Employee 77,28,93941
Employee 78,40,68128
Employee 79,44,32239
Employee 80,41,98175
Employee 81,50,74798
Employee 82,46,55465
Employee 83,24,31487
Employee 84,35,47543
Employee 85,45,47891
Employee 86,47,62678
Employee 87,36,56627
Employee 88,55,84005
Employee 89,43,48840
Employee 90,43,99346
Employee 91,39,68465
Employee 92,42,94851
Employee 93,49,79819
Employee 94,50,34660
Employee 95,51,51054
Employee 96,33,94018
Employee 97,21,75812
Employee 98,21,50482
Employee 99,58,31428
